Operating System,Graphics Processing Type,Processor Speed,Color,GPU,Release Year,Brand,Processor,SSD Capacity,Price,Screen Size,RAM Size,Resolution
11.5,Integrated,1.6,Silver,Intel UHD Graphics 620,2019,Dell,5,256,1124.28,14,8,2073600
11.5,Integrated,2.2,Silver,NVIDIA GeForce GTX 1050 Ti,2019,Dell,7,256,1277.59,15.6,16,2073600
10,Integrated,2.4,Black,Intel HD Graphics 520,2017,Dell,5,256,711.22,12.5,8,1049088
11.5,Integrated,2.4,Black,Intel HD Graphics 520,2018,Dell,5,1000,626.92,13,16,1049088
10.5,Integrated,3,Gray,Intel Iris Xe Graphics,2021,Dell,7,512,1311.7,14,16,2073600
11,Integrated,2.4,Silver,Intel UHD Graphics 630,2020,Dell,5,256,1325.32,15.6,8,2073600
11.5,Integrated,2.6,Black,Intel HD Graphics 620,2018,Dell,5,1000,626.92,12.5,16,2073600
10.5,Dedicated,2.6,Silver,Intel UHD Graphics 630,2019,Dell,7,256,1107.28,15.6,16,2073600
11,Integrated,2,Silver,Integrated Intel UHD Graphics,2022,Acer,3,256,1291.25,15.6,16,2073600
11.5,Integrated,4.2,Silver,Intel Iris Xe Graphics,2021,HP,7,512,1175.42,14,16,2073600
10.5,Integrated,4.9,Silver,Intel Iris Xe Graphics,2021,HP,7,512,1379.84,14,16,2073600
10.5,Integrated,3,Black,Intel Iris Xe Graphics,2021,Dell,7,512,1277.63,13.3,16,2073600
10,Integrated,2.8,Blue,Intel Iris Xe Graphics,2021,Samsung,7,256,1318.51,13.3,8,2073600
10,Integrated,1.6,Black,Intel UHD Graphics 620,2018,Dell,5,256,1192.33,14,8,2073600
10,Integrated,1.6,Black,Intel UHD Graphics 620,2018,Dell,5,256,1192.33,14,8,2073600
10.5,Integrated,3,Black,Intel UHD Graphics 620,2020,Dell,5,256,1192.42,15.6,16,2073600
11.5,Integrated,1.6,Silver,Intel UHD Graphics 620,2019,Dell,5,512,1172.01,14,16,2073600
11,Dedicated,2,Black,Intel UHD Graphics,2022,Dell,5,256,1223.11,15.6,8,1049088
10.5,Dedicated,2.6,Silver,NVIDIA Quadro T1000,2021,HP,7,256,1380.6,15.6,16,2073600
10.5,Integrated,1.7,Black,Intel UHD Graphics,2019,Lenovo,5,256,1255.09,14,8,2073600
11.5,Integrated,2.6,Silver,NVIDIA GeForce GTX 1050,2017,Microsoft,7,512,1107.28,13.5,16,6000000
