Operating System,Graphics Processing Type,Processor Speed,Color,GPU,Release Year,Brand,Processor,SSD Capacity,Price,Screen Size,RAM Size,Resolution
Windows 10 Home,Integrated/On-Board Graphics,3.70 GHz,Grey,AMD Radeon Vega 8,2020,Huawei,AMD Ryzen 5 3500U,256 GB,"ILS 1,250.91",14 in,8 GB,2160 x 1440
Windows 11 Home,Integrated/On-Board Graphics,1.0 Ghz,Gray,Intel UHD Graphics,2020,HP,Intel Core i5 10th Gen,512 GB,"ILS 1,189.04",15.6,8 GB,1366 x 768
Windows 10,Integrated/On-Board Graphics,1.70 GHz,Grey,Intel HD Graphics 640,2018,Microsoft,Intel Core i5 8th Gen.,128 GB,"ILS 1,129.58",13.5 in,8 GB,2256 x 1504
Windows 10 Pro,Integrated/On-Board Graphics,2.40 GHz,Black,Intel Iris Xe Graphics,2021,Dell,i5-1135G7,256 GB,"ILS 1,107.28",14 in,8 GB,1920 x 1080
Windows 10 Pro,Integrated/On-Board Graphics,2.80 GHz,Silver,Intel HD Graphics 620,2017,HP,Intel Core i7 7th Gen.,512 GB,"ILS 1,359.68",14 in,16 GB,1920 x 1080
Windows 11 Home,Integrated/On-Board Graphics,2.80 GHz,Black,Intel Iris Xe Graphics,2021,Samsung,Intel Core i7 11th Gen.,512 GB,"ILS 1,107.28",13.3 in,16 GB,1920 x 1080
Windows 11 Pro,Integrated/On-Board Graphics,2.40 GHz,Silver,Intel J4125,2022,Reborn,Intel,1 TB,"ILS 1,362.80",12.3 in,12 GB,3000 x 2000
Windows 11 Home,Integrated/On-Board Graphics,1.20 GHz,Grey,Intel UHD Graphics,2019,ASUS,Intel Core i3 10th Gen.,256 GB,"ILS 1,255.05",14 in,8 GB,1920 x 1080
Windows 10,Dedicated Graphics,1.80 GHz,Grey,NVIDIA GeForce MX130 (2 GB DDR3 dedicated),2019,HP,Intel Core i7 8th Gen.,256 GB,"ILS 1,255.05",14 in,256 GB,1920 x 1080
Windows 10 Pro,Dedicated Graphics,1.90 GHz,Black,NVIDIA Geforce MX150,2017,Lenovo,Intel Core i7 8th Gen.,1 TB,"ILS 1,120.90",15.6 in,32 GB,1920 x 1080
Windows 10,Dedicated Graphics,1.73 GHz,Black,2 x AMD MOBILITY RADEON HD 5800 SERIES,2011,Alienware,Intel Core i7 1st Gen.,256 GB,"ILS 1,362.77","17.3""",8 GB,1920 x 1200
Windows 11 Pro,Integrated/On-Board Graphics,2.40 GHz,Black,Intel HD Graphics 5500,2018,Dell,Intel Core i5 5th Gen.,1 TB,ILS 626.92,13 in,16 GB,1366 x 768
Windows 11 Pro,Integrated,2.80 GHz,Black,Intel HD Graphics,2021,ASUS,Intel Intel Celeron N4020,64 GB,"ILS 1,150.29",15.6 in,4GB,1366 x 768
Windows 10 Pro,Integrated/On-Board Graphics,1.70 GHz,Black,Intel UHD Graphics 620,2018,Microsoft,Intel Core i5 8th Gen.,256 GB,"ILS 1,107.28",12.3 in,8 GB,2736 x 1824
Windows 10 Home,Dedicated Graphics,3.50 GHz,Black,NVIDIA GeForce GTX960M,2016,Dell,Intel Core i7 6th Gen.,128 GB,"ILS 1,380.56",15.6 in,8 GB,1920 x 1080
Windows 10,Integrated/On-Board Graphics,2.40 GHz,Silver,Intel HD Graphics,2020,HP,Intel Core i5 11th Gen.,256 GB,"ILS 1,255.09",13.3 in,8 GB,1920 x 1080
Windows 11 Pro,Integrated/On-Board Graphics,2.80 GHz,Blue,Intel UHD Graphics 620,2021,HP,Intel Core i7 11th Gen.,512 GB,"ILS 1,255.09",13.3 in,512 GB,3840 x 2160
Windows 10 Pro,Integrated/On-Board Graphics,2.90 GHz,carbon,Integrated,2017,Dell,Intel Core i7 6th Gen.,256 GB,"ILS 1,380.60",15.6 in,32 GB,3480x 2160
Windows 10,Integrated/On-Board Graphics,2.10 GHz,Gray,AMD Radeon Graphics,2021,Dell,AMD Ryzen 5,256 GB,"ILS 1,345.73",14 in,8 GB,1920 x 1080
Windows 10 Pro,Integrated/On-Board Graphics,2.30 GHz,Silver,AMD Radeon Graphics,2022,HP,AMD Ryzen 5,256 GB,"ILS 1,355.99",14 in,16 GB,1920 x 1080
Windows 11 Pro,Integrated/On-Board Graphics,2.60 GHz,Black,Intel Iris Xe Graphics,2021,Dell,Intel Core i5 11th Gen.,256 GB,"ILS 1,362.77",14 in,16 GB,1920 x 1080
Windows 11 Pro,Integrated/On-Board Graphics,1.90 GHz,Silver,AMD Radeon Graphics,2021,HP,AMD Ryzen 7 5000 Series,512 GB,"ILS 1,328.73",14 in,16 GB,1920 x 1080
